Density:0.1, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 73
Density:0.5, Vertices: 150, Time: 0.0121 seconds, MST Weight by matrix: 149
Density:0.6, Vertices: 150, Time: 0.0081 seconds, MST Weight by matrix: 149
Density:0.7, Vertices: 150, Time: 0.0098 seconds, MST Weight by matrix: 149
Density:0.8, Vertices: 150, Time: 0.0110 seconds, MST Weight by matrix: 149
Density:0.1, Vertices: 180, Time: 0.0071 seconds, MST Weight by matrix: 230
Density:0.2, Vertices: 180, Time: 0.0060 seconds, MST Weight by matrix: 183
Density:0.3, Vertices: 180, Time: 0.0121 seconds, MST Weight by matrix: 179
Density:0.4, Vertices: 180, Time: 0.0085 seconds, MST Weight by matrix: 179
Density:0.5, Vertices: 180, Time: 0.0111 seconds, MST Weight by matrix: 179
Density:0.6, Vertices: 180, Time: 0.0121 seconds, MST Weight by matrix: 179
Density:0.7, Vertices: 180, Time: 0.0130 seconds, MST Weight by matrix: 179
Density:0.8, Vertices: 180, Time: 0.0150 seconds, MST Weight by matrix: 179
Density:0.1, Vertices: 200, Time: 0.0080 seconds, MST Weight by matrix: 239
Density:0.2, Vertices: 200, Time: 0.0121 seconds, MST Weight by matrix: 203
Density:0.3, Vertices: 200, Time: 0.0146 seconds, MST Weight by matrix: 199
Density:0.4, Vertices: 200, Time: 0.0110 seconds, MST Weight by matrix: 199
Density:0.5, Vertices: 200, Time: 0.0130 seconds, MST Weight by matrix: 199
Density:0.6, Vertices: 200, Time: 0.0150 seconds, MST Weight by matrix: 199
Density:0.7, Vertices: 200, Time: 0.0173 seconds, MST Weight by matrix: 199
Density:0.8, Vertices: 200, Time: 0.0187 seconds, MST Weight by matrix: 199
Density:0.1, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 64
Density:0.2, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 51
Density:0.3, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 54
Density:0.4, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 36
Density:0.5, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 24
Density:0.6, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 36
Density:0.7, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 30
Density:0.8, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 21
Density:0.1, Vertices: 50, Time: 0.0000 seconds, MST Weight by matrix: 116
Density:0.2, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 90
Density:0.3, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 85
Density:0.4, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 56
Density:0.5, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 51
Density:0.6, Vertices: 50, Time: 0.0020 seconds, MST Weight by matrix: 51
Density:0.7, Vertices: 50, Time: 0.0020 seconds, MST Weight by matrix: 50
Density:0.8, Vertices: 50, Time: 0.0020 seconds, MST Weight by matrix: 49
Density:0.1, Vertices: 70, Time: 0.0010 seconds, MST Weight by matrix: 144
Density:0.2, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 94
Density:0.3, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 77
Density:0.4, Vertices: 70, Time: 0.0010 seconds, MST Weight by matrix: 70
Density:0.5, Vertices: 70, Time: 0.0010 seconds, MST Weight by matrix: 71
Density:0.6, Vertices: 70, Time: 0.0030 seconds, MST Weight by matrix: 71
Density:0.7, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 69
Density:0.8, Vertices: 70, Time: 0.0040 seconds, MST Weight by matrix: 70
Density:0.1, Vertices: 90, Time: 0.0020 seconds, MST Weight by matrix: 172
Density:0.2, Vertices: 90, Time: 0.0030 seconds, MST Weight by matrix: 115
Density:0.3, Vertices: 90, Time: 0.0030 seconds, MST Weight by matrix: 91
Density:0.4, Vertices: 90, Time: 0.0040 seconds, MST Weight by matrix: 89
Density:0.5, Vertices: 90, Time: 0.0031 seconds, MST Weight by matrix: 90
Density:0.6, Vertices: 90, Time: 0.0030 seconds, MST Weight by matrix: 90
Density:0.7, Vertices: 90, Time: 0.0060 seconds, MST Weight by matrix: 89
Density:0.8, Vertices: 90, Time: 0.0040 seconds, MST Weight by matrix: 89
Density:0.1, Vertices: 100, Time: 0.0020 seconds, MST Weight by matrix: 183
Density:0.2, Vertices: 100, Time: 0.0032 seconds, MST Weight by matrix: 119
Density:0.3, Vertices: 100, Time: 0.0040 seconds, MST Weight by matrix: 108
Density:0.4, Vertices: 100, Time: 0.0051 seconds, MST Weight by matrix: 107
Density:0.5, Vertices: 100, Time: 0.0041 seconds, MST Weight by matrix: 99
Density:0.6, Vertices: 100, Time: 0.0035 seconds, MST Weight by matrix: 99
Density:0.7, Vertices: 100, Time: 0.0040 seconds, MST Weight by matrix: 99
Density:0.8, Vertices: 100, Time: 0.0050 seconds, MST Weight by matrix: 99
Density:0.1, Vertices: 120, Time: 0.0030 seconds, MST Weight by matrix: 182
Density:0.2, Vertices: 120, Time: 0.0051 seconds, MST Weight by matrix: 129
Density:0.3, Vertices: 120, Time: 0.0061 seconds, MST Weight by matrix: 123
Density:0.4, Vertices: 120, Time: 0.0040 seconds, MST Weight by matrix: 119
Density:0.5, Vertices: 120, Time: 0.0050 seconds, MST Weight by matrix: 119
Density:0.6, Vertices: 120, Time: 0.0050 seconds, MST Weight by matrix: 119
Density:0.7, Vertices: 120, Time: 0.0055 seconds, MST Weight by matrix: 119
Density:0.8, Vertices: 120, Time: 0.0080 seconds, MST Weight by matrix: 119
Density:0.1, Vertices: 150, Time: 0.0050 seconds, MST Weight by matrix: 198
Density:0.2, Vertices: 150, Time: 0.0070 seconds, MST Weight by matrix: 157
Density:0.3, Vertices: 150, Time: 0.0082 seconds, MST Weight by matrix: 150
Density:0.4, Vertices: 150, Time: 0.0070 seconds, MST Weight by matrix: 149
Density:0.5, Vertices: 150, Time: 0.0131 seconds, MST Weight by matrix: 149
Density:0.6, Vertices: 150, Time: 0.0153 seconds, MST Weight by matrix: 149
Density:0.7, Vertices: 150, Time: 0.0101 seconds, MST Weight by matrix: 149
Density:0.8, Vertices: 150, Time: 0.0100 seconds, MST Weight by matrix: 149
Density:0.1, Vertices: 180, Time: 0.0071 seconds, MST Weight by matrix: 220
Density:0.2, Vertices: 180, Time: 0.0090 seconds, MST Weight by matrix: 186
Density:0.3, Vertices: 180, Time: 0.0121 seconds, MST Weight by matrix: 179
Density:0.4, Vertices: 180, Time: 0.0150 seconds, MST Weight by matrix: 180
Density:0.5, Vertices: 180, Time: 0.0121 seconds, MST Weight by matrix: 179
Density:0.6, Vertices: 180, Time: 0.0193 seconds, MST Weight by matrix: 179
Density:0.7, Vertices: 180, Time: 0.0135 seconds, MST Weight by matrix: 179
Density:0.8, Vertices: 180, Time: 0.0161 seconds, MST Weight by matrix: 179
Density:0.1, Vertices: 200, Time: 0.0090 seconds, MST Weight by matrix: 238
Density:0.2, Vertices: 200, Time: 0.0110 seconds, MST Weight by matrix: 203
Density:0.3, Vertices: 200, Time: 0.0101 seconds, MST Weight by matrix: 199
Density:0.4, Vertices: 200, Time: 0.0190 seconds, MST Weight by matrix: 199
Density:0.5, Vertices: 200, Time: 0.0131 seconds, MST Weight by matrix: 199
Density:0.6, Vertices: 200, Time: 0.0153 seconds, MST Weight by matrix: 199
Density:0.7, Vertices: 200, Time: 0.0163 seconds, MST Weight by matrix: 199
Density:0.8, Vertices: 200, Time: 0.0201 seconds, MST Weight by matrix: 199
Density:0.1, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 81
Density:0.2, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 61
Density:0.3, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 42
Density:0.4, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 39
Density:0.5, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 28
Density:0.6, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 25
Density:0.7, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 24
Density:0.8, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 22
Density:0.1, Vertices: 50, Time: 0.0000 seconds, MST Weight by matrix: 108
Density:0.2, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 78
Density:0.3, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 69
Density:0.4, Vertices: 50, Time: 0.0000 seconds, MST Weight by matrix: 57
Density:0.5, Vertices: 50, Time: 0.0000 seconds, MST Weight by matrix: 56
Density:0.6, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 52
Density:0.7, Vertices: 50, Time: 0.0020 seconds, MST Weight by matrix: 50
Density:0.8, Vertices: 50, Time: 0.0020 seconds, MST Weight by matrix: 49
Density:0.1, Vertices: 70, Time: 0.0010 seconds, MST Weight by matrix: 143
Density:0.2, Vertices: 70, Time: 0.0010 seconds, MST Weight by matrix: 98
Density:0.3, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 80
Density:0.4, Vertices: 70, Time: 0.0021 seconds, MST Weight by matrix: 79
Density:0.5, Vertices: 70, Time: 0.0030 seconds, MST Weight by matrix: 75
Density:0.6, Vertices: 70, Time: 0.0010 seconds, MST Weight by matrix: 71
Density:0.7, Vertices: 70, Time: 0.0031 seconds, MST Weight by matrix: 69
Density:0.8, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 69
Density:0.1, Vertices: 90, Time: 0.0020 seconds, MST Weight by matrix: 152
Density:0.2, Vertices: 90, Time: 0.0020 seconds, MST Weight by matrix: 113
Density:0.3, Vertices: 90, Time: 0.0030 seconds, MST Weight by matrix: 93
Density:0.4, Vertices: 90, Time: 0.0030 seconds, MST Weight by matrix: 92
Density:0.5, Vertices: 90, Time: 0.0040 seconds, MST Weight by matrix: 89
Density:0.6, Vertices: 90, Time: 0.0030 seconds, MST Weight by matrix: 90
Density:0.7, Vertices: 90, Time: 0.0050 seconds, MST Weight by matrix: 89
Density:0.8, Vertices: 90, Time: 0.0041 seconds, MST Weight by matrix: 89
Density:0.1, Vertices: 100, Time: 0.0020 seconds, MST Weight by matrix: 162
Density:0.2, Vertices: 100, Time: 0.0020 seconds, MST Weight by matrix: 118
Density:0.3, Vertices: 100, Time: 0.0040 seconds, MST Weight by matrix: 106
Density:0.4, Vertices: 100, Time: 0.0030 seconds, MST Weight by matrix: 101
Density:0.5, Vertices: 100, Time: 0.0030 seconds, MST Weight by matrix: 100
Density:0.6, Vertices: 100, Time: 0.0070 seconds, MST Weight by matrix: 99
Density:0.7, Vertices: 100, Time: 0.0040 seconds, MST Weight by matrix: 99
Density:0.8, Vertices: 100, Time: 0.0090 seconds, MST Weight by matrix: 99
Density:0.1, Vertices: 120, Time: 0.0040 seconds, MST Weight by matrix: 175
Density:0.2, Vertices: 120, Time: 0.0050 seconds, MST Weight by matrix: 136
Density:0.3, Vertices: 120, Time: 0.0030 seconds, MST Weight by matrix: 125
Density:0.4, Vertices: 120, Time: 0.0040 seconds, MST Weight by matrix: 120
Density:0.5, Vertices: 120, Time: 0.0050 seconds, MST Weight by matrix: 119
Density:0.6, Vertices: 120, Time: 0.0050 seconds, MST Weight by matrix: 119
Density:0.7, Vertices: 120, Time: 0.0060 seconds, MST Weight by matrix: 119
Density:0.8, Vertices: 120, Time: 0.0070 seconds, MST Weight by matrix: 119
Density:0.1, Vertices: 150, Time: 0.0051 seconds, MST Weight by matrix: 218
Density:0.2, Vertices: 150, Time: 0.0071 seconds, MST Weight by matrix: 153
Density:0.3, Vertices: 150, Time: 0.0092 seconds, MST Weight by matrix: 150
Density:0.4, Vertices: 150, Time: 0.0060 seconds, MST Weight by matrix: 149
Density:0.5, Vertices: 150, Time: 0.0076 seconds, MST Weight by matrix: 149
Density:0.6, Vertices: 150, Time: 0.0150 seconds, MST Weight by matrix: 149
Density:0.7, Vertices: 150, Time: 0.0100 seconds, MST Weight by matrix: 149
Density:0.8, Vertices: 150, Time: 0.0112 seconds, MST Weight by matrix: 149
Density:0.1, Vertices: 180, Time: 0.0072 seconds, MST Weight by matrix: 220
Density:0.2, Vertices: 180, Time: 0.0090 seconds, MST Weight by matrix: 184
Density:0.3, Vertices: 180, Time: 0.0071 seconds, MST Weight by matrix: 179
Density:0.4, Vertices: 180, Time: 0.0093 seconds, MST Weight by matrix: 179
Density:0.5, Vertices: 180, Time: 0.0101 seconds, MST Weight by matrix: 179
Density:0.6, Vertices: 180, Time: 0.0121 seconds, MST Weight by matrix: 179
Density:0.7, Vertices: 180, Time: 0.0130 seconds, MST Weight by matrix: 179
Density:0.8, Vertices: 180, Time: 0.0152 seconds, MST Weight by matrix: 179
Density:0.1, Vertices: 200, Time: 0.0111 seconds, MST Weight by matrix: 229
Density:0.2, Vertices: 200, Time: 0.0115 seconds, MST Weight by matrix: 205
Density:0.3, Vertices: 200, Time: 0.0085 seconds, MST Weight by matrix: 200
Density:0.4, Vertices: 200, Time: 0.0124 seconds, MST Weight by matrix: 199
Density:0.5, Vertices: 200, Time: 0.0220 seconds, MST Weight by matrix: 199
Density:0.6, Vertices: 200, Time: 0.0152 seconds, MST Weight by matrix: 199
Density:0.7, Vertices: 200, Time: 0.0170 seconds, MST Weight by matrix: 199
Density:0.8, Vertices: 200, Time: 0.0186 seconds, MST Weight by matrix: 199
Density:0.1, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 76
Density:0.2, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 59
Density:0.3, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 38
Density:0.4, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 35
Density:0.5, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 41
Density:0.6, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 27
Density:0.7, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 26
Density:0.8, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 28
Density:0.1, Vertices: 50, Time: 0.0000 seconds, MST Weight by matrix: 126
Density:0.2, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 98
Density:0.3, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 71
Density:0.4, Vertices: 50, Time: 0.0000 seconds, MST Weight by matrix: 58
Density:0.5, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 55
Density:0.6, Vertices: 50, Time: 0.0011 seconds, MST Weight by matrix: 53
Density:0.7, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 51
Density:0.8, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 49
Density:0.1, Vertices: 70, Time: 0.0010 seconds, MST Weight by matrix: 139
Density:0.2, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 98
Density:0.3, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 76
Density:0.4, Vertices: 70, Time: 0.0021 seconds, MST Weight by matrix: 77
Density:0.5, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 70
Density:0.6, Vertices: 70, Time: 0.0040 seconds, MST Weight by matrix: 70
Density:0.7, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 70
Density:0.8, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 69
Density:0.1, Vertices: 90, Time: 0.0020 seconds, MST Weight by matrix: 189
Density:0.2, Vertices: 90, Time: 0.0020 seconds, MST Weight by matrix: 106
Density:0.3, Vertices: 90, Time: 0.0030 seconds, MST Weight by matrix: 97
Density:0.4, Vertices: 90, Time: 0.0020 seconds, MST Weight by matrix: 92
Density:0.5, Vertices: 90, Time: 0.0031 seconds, MST Weight by matrix: 91
Density:0.6, Vertices: 90, Time: 0.0030 seconds, MST Weight by matrix: 89
Density:0.7, Vertices: 90, Time: 0.0040 seconds, MST Weight by matrix: 90
Density:0.8, Vertices: 90, Time: 0.0040 seconds, MST Weight by matrix: 89
Density:0.1, Vertices: 100, Time: 0.0021 seconds, MST Weight by matrix: 182
Density:0.2, Vertices: 100, Time: 0.0030 seconds, MST Weight by matrix: 114
Density:0.3, Vertices: 100, Time: 0.0020 seconds, MST Weight by matrix: 105
Density:0.4, Vertices: 100, Time: 0.0030 seconds, MST Weight by matrix: 102
Density:0.5, Vertices: 100, Time: 0.0030 seconds, MST Weight by matrix: 100
Density:0.6, Vertices: 100, Time: 0.0030 seconds, MST Weight by matrix: 99
Density:0.7, Vertices: 100, Time: 0.0041 seconds, MST Weight by matrix: 99
Density:0.8, Vertices: 100, Time: 0.0050 seconds, MST Weight by matrix: 99
Density:0.1, Vertices: 120, Time: 0.0031 seconds, MST Weight by matrix: 172
Density:0.2, Vertices: 120, Time: 0.0040 seconds, MST Weight by matrix: 131
Density:0.3, Vertices: 120, Time: 0.0051 seconds, MST Weight by matrix: 121
Density:0.4, Vertices: 120, Time: 0.0041 seconds, MST Weight by matrix: 119
Density:0.5, Vertices: 120, Time: 0.0051 seconds, MST Weight by matrix: 119
Density:0.6, Vertices: 120, Time: 0.0061 seconds, MST Weight by matrix: 119
Density:0.7, Vertices: 120, Time: 0.0061 seconds, MST Weight by matrix: 119
Density:0.8, Vertices: 120, Time: 0.0060 seconds, MST Weight by matrix: 119
Density:0.1, Vertices: 150, Time: 0.0060 seconds, MST Weight by matrix: 190
Density:0.2, Vertices: 150, Time: 0.0065 seconds, MST Weight by matrix: 158
Density:0.3, Vertices: 150, Time: 0.0100 seconds, MST Weight by matrix: 153
Density:0.4, Vertices: 150, Time: 0.0120 seconds, MST Weight by matrix: 150
Density:0.5, Vertices: 150, Time: 0.0071 seconds, MST Weight by matrix: 149
Density:0.6, Vertices: 150, Time: 0.0081 seconds, MST Weight by matrix: 149
Density:0.7, Vertices: 150, Time: 0.0162 seconds, MST Weight by matrix: 149
Density:0.8, Vertices: 150, Time: 0.0110 seconds, MST Weight by matrix: 149
Density:0.1, Vertices: 180, Time: 0.0072 seconds, MST Weight by matrix: 235
Density:0.2, Vertices: 180, Time: 0.0091 seconds, MST Weight by matrix: 188
Density:0.3, Vertices: 180, Time: 0.0121 seconds, MST Weight by matrix: 180
Density:0.4, Vertices: 180, Time: 0.0090 seconds, MST Weight by matrix: 179
Density:0.5, Vertices: 180, Time: 0.0102 seconds, MST Weight by matrix: 179
Density:0.6, Vertices: 180, Time: 0.0126 seconds, MST Weight by matrix: 179
Density:0.7, Vertices: 180, Time: 0.0140 seconds, MST Weight by matrix: 179
Density:0.8, Vertices: 180, Time: 0.0151 seconds, MST Weight by matrix: 179
Density:0.1, Vertices: 200, Time: 0.0125 seconds, MST Weight by matrix: 230
Density:0.2, Vertices: 200, Time: 0.0120 seconds, MST Weight by matrix: 206
Density:0.3, Vertices: 200, Time: 0.0153 seconds, MST Weight by matrix: 199
Density:0.4, Vertices: 200, Time: 0.0110 seconds, MST Weight by matrix: 199
Density:0.5, Vertices: 200, Time: 0.0130 seconds, MST Weight by matrix: 199
Density:0.6, Vertices: 200, Time: 0.0150 seconds, MST Weight by matrix: 199
Density:0.7, Vertices: 200, Time: 0.0167 seconds, MST Weight by matrix: 199
Density:0.8, Vertices: 200, Time: 0.0181 seconds, MST Weight by matrix: 199
Density:0.1, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 71
Density:0.2, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 63
Density:0.3, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 67
Density:0.4, Vertices: 20, Time: 0.0010 seconds, MST Weight by matrix: 34
Density:0.5, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 38
Density:0.6, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 35
Density:0.7, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 27
Density:0.8, Vertices: 20, Time: 0.0000 seconds, MST Weight by matrix: 24
Density:0.1, Vertices: 50, Time: 0.0000 seconds, MST Weight by matrix: 118
Density:0.2, Vertices: 50, Time: 0.0000 seconds, MST Weight by matrix: 82
Density:0.3, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 67
Density:0.4, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 58
Density:0.5, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 59
Density:0.6, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 52
Density:0.7, Vertices: 50, Time: 0.0010 seconds, MST Weight by matrix: 50
Density:0.8, Vertices: 50, Time: 0.0020 seconds, MST Weight by matrix: 49
Density:0.1, Vertices: 70, Time: 0.0010 seconds, MST Weight by matrix: 164
Density:0.2, Vertices: 70, Time: 0.0000 seconds, MST Weight by matrix: 97
Density:0.3, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 82
Density:0.4, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 79
Density:0.5, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 72
Density:0.6, Vertices: 70, Time: 0.0020 seconds, MST Weight by matrix: 70
Density:0.7, Vertices: 70, Time: 0.0021 seconds, MST Weight by matrix: 71
Density:0.8, Vertices: 70, Time: 0.0030 seconds, MST Weight by matrix: 69
Density:0.1, Vertices: 90, Time: 0.0020 seconds, MST Weight by matrix: 160
Density:0.2, Vertices: 90, Time: 0.0020 seconds, MST Weight by matrix: 118
Density:0.3, Vertices: 90, Time: 0.0041 seconds, MST Weight by matrix: 95
Density:0.4, Vertices: 90, Time: 0.0020 seconds, MST Weight by matrix: 90
Density:0.5, Vertices: 90, Time: 0.0021 seconds, MST Weight by matrix: 89
Density:0.6, Vertices: 90, Time: 0.0030 seconds, MST Weight by matrix: 89
Density:0.7, Vertices: 90, Time: 0.0060 seconds, MST Weight by matrix: 89
Density:0.8, Vertices: 90, Time: 0.0040 seconds, MST Weight by matrix: 89
Density:0.1, Vertices: 100, Time: 0.0020 seconds, MST Weight by matrix: 153
Density:0.2, Vertices: 100, Time: 0.0030 seconds, MST Weight by matrix: 115
Density:0.3, Vertices: 100, Time: 0.0020 seconds, MST Weight by matrix: 105
Density:0.4, Vertices: 100, Time: 0.0030 seconds, MST Weight by matrix: 100
Density:0.5, Vertices: 100, Time: 0.0050 seconds, MST Weight by matrix: 99
Density:0.6, Vertices: 100, Time: 0.0040 seconds, MST Weight by matrix: 99
Density:0.7, Vertices: 100, Time: 0.0041 seconds, MST Weight by matrix: 99
Density:0.8, Vertices: 100, Time: 0.0050 seconds, MST Weight by matrix: 99
Density:0.1, Vertices: 120, Time: 0.0030 seconds, MST Weight by matrix: 189
Density:0.2, Vertices: 120, Time: 0.0040 seconds, MST Weight by matrix: 128
Density:0.3, Vertices: 120, Time: 0.0060 seconds, MST Weight by matrix: 124
Density:0.4, Vertices: 120, Time: 0.0040 seconds, MST Weight by matrix: 119
Density:0.5, Vertices: 120, Time: 0.0050 seconds, MST Weight by matrix: 120
Density:0.6, Vertices: 120, Time: 0.0051 seconds, MST Weight by matrix: 119
Density:0.7, Vertices: 120, Time: 0.0060 seconds, MST Weight by matrix: 119
Density:0.8, Vertices: 120, Time: 0.0070 seconds, MST Weight by matrix: 119
Density:0.1, Vertices: 150, Time: 0.0050 seconds, MST Weight by matrix: 204
Density:0.2, Vertices: 150, Time: 0.0040 seconds, MST Weight by matrix: 157
Density:0.3, Vertices: 150, Time: 0.0053 seconds, MST Weight by matrix: 150
Density:0.4, Vertices: 150, Time: 0.0070 seconds, MST Weight by matrix: 149
